"Node_Number","STD_distance","Catch_Proportion"
1,0,0.01
2,0,0.05
3,0,0.01
4,0,0.02
5,0,0
6,0,0.01
7,0,0.01
8,0,0
9,0,0.01
10,0,0.03
11,0,0.03
12,0,0.04
13,0,0.01
14,0,0.01
15,0,0.03
16,0,0.05
17,18.9088373262421,0.02
18,21.5111508023665,0.02
19,21.6170698380802,0.03
20,14.1713045283386,0.02
21,22.983451557626,0.03
22,22.6028131237943,0.02
23,39.6288334827609,0.05
24,28.0096537071805,0.06
25,26.7263079677059,0.03
26,19.9119409787762,0.07
27,15.197320183487,0.02
28,30.9170238897587,0.03
29,3.55059066072458,0.06
30,17.0053225401858,0.1
31,14.3510178858232,0.1
32,30.1243437134302,0.03
33,37.7532799201455,0.06
34,20.1719629158993,0.12
35,70.3418105787536,0.03
36,69.120703470084,0.03
37,22.2240808920593,0.04
38,28.2637086510933,0.02
39,131.01650213645,0.03
40,123.726321867285,0.01
41,104.340131475573,0.07
42,120.846710264208,0.03
43,37.0077122045904,0.08
44,16.9131389819601,0.06
45,17.5041296443069,0.09
46,15.4367318166382,0.15
47,44.9884718134761,0.04
48,29.2131033512977,0.05
49,111.05788646696,0.1
50,58.0817646594397,0.07
51,42.9447613970614,0.13
52,31.6328875290679,0.07
53,29.5562304000711,0.19
54,17.1537537586205,0.29
55,25.4259794194681,0.1
56,42.0377185586949,0.05
57,39.8424883223742,0.16
58,50.6024980093113,0.07
59,33.3034690280295,0.14
60,119.593205199228,0.18
61,35.8403625503463,0.45
62,15.3820122545121,0.51
63,26.7668399572654,0.61
64,81.7845505734697,0.2
65,172.214271634967,0.8
66,142.935145863202,1
