"Node_Number","STD_distance","Catch_Proportion"
1,0,0.05
2,0,0.03
3,0,0.04
4,0,0.12
5,0,0.05
6,0,0.03
7,0,0.06
8,0,0.05
9,0,0.05
10,0,0.03
11,0,0.07
12,0,0.01
13,0,0.01
14,0,0.01
15,0,0.06
16,0,0.02
17,0,0.02
18,0,0.02
19,0,0.09
20,0,0.11
21,0,0.01
22,0,0.01
23,0,0.03
24,0,0.06
25,0,0.15
26,0,0.1
27,0,0.15
28,0,0.1
29,0,0.06
30,0,0.01
31,0,0.03
32,0,0.01
33,0,0
34,0,0.07
35,0,0.02
36,-0.135752472299262,0.11
37,-0.594138825692423,0.12
38,-0.182197171305143,0.07
39,1.5074927854695,0.05
40,3.43250706206182,0.05
41,-0.498915844294778,0.08
42,3.51472646032526,0.03
43,0.589042644680608,0.04
44,1.94191474741106,0.06
45,9.15635607082431,0.03
46,-0.0198032328366132,0.16
47,-0.590573597155137,0.26
48,1.25841249603656,0.07
49,-0.226888332845208,0.36
50,15.1181210219522,0.01
51,1.01785409085617,0.09
52,-0.758457073335931,0.17
53,13.1184431101557,0.01
54,8.16652163616954,0.05
55,5.83998912087185,0.16
56,6.85551831012719,0.13
57,1.81366871714908,0.2
58,2.35832765421167,0.23
59,0.715176958635482,0.25
60,8.95424462006653,0.18
61,3.55752228886905,0.52
62,1.70462151552554,0.29
63,4.92120693168132,0.52
64,20.0961959109134,0.71
65,53.0885839294072,1
